carat,cut,cut_rank,color,color_rank,clarity,clarity_rank,depth_pct,table_mm,price_usd,length_mm,width_mm,depth_mm,region
0.57,Very Good,3,G,4,VS2,5,62.6,55.0,2090.0,5.26,5.31,3.31,region1
1.0,Premium,2,H,5,SI1,6,62.1,56.0,5027.0,6.48,6.38,3.99,region3
2.75,Ideal,1,D,1,I1,8,60.9,57.0,17103.0,9.04,8.98,5.49,region1
0.58,Ideal,1,H,5,VS1,4,61.2,55.0,1922.0,5.39,5.42,3.31,region2
1.0,Very Good,3,E,2,SI1,6,59.6,60.0,5520.0,6.58,6.51,3.9,region3
0.31,Very Good,3,H,5,SI1,6,63.1,57.0,659.0,4.34,4.31,2.73,region2
0.3,Premium,2,G,4,VVS2,3,61.3,57.0,790.0,4.33,4.29,2.64,region4
0.3,Very Good,3,E,2,VS2,5,61.9,61.0,757.0,4.28,4.32,2.66,region2
0.51,Ideal,1,H,5,SI1,6,62.1,54.0,1335.0,5.13,5.15,3.19,region2
1.02,Ideal,1,H,5,SI1,6,60.8,58.0,6826.0,6.47,6.49,3.94,region1
0.26,Very Good,3,E,2,VVS2,3,61.7,60.0,539.0,4.11,4.12,2.54,region4
0.7,Ideal,1,E,2,SI1,6,60.1,57.0,3075.0,5.78,5.83,3.49,region3
0.96,Ideal,1,G,4,SI1,6,62.6,57.0,5008.0,6.28,6.24,3.92,region2
0.33,Ideal,1,G,4,VS1,4,61.4,54.0,599.0,4.44,4.48,2.74,region4
0.9,Good,4,G,4,SI1,6,64.2,58.0,3737.0,6.04,6.01,3.87,region2
0.3,Ideal,1,G,4,SI1,6,62.1,53.0,549.0,4.32,4.37,2.7,region1
1.04,Very Good,3,G,4,SI2,7,62.6,58.0,3938.0,6.42,6.49,4.04,region4
0.7,Premium,2,F,3,SI2,7,60.3,58.0,2077.0,5.79,5.76,3.48,region2
0.33,Very Good,3,E,2,VVS1,2,61.8,54.0,1228.0,4.47,4.49,2.77,region1
1.03,Premium,2,D,1,SI2,7,61.3,61.0,6193.0,6.49,6.46,3.97,region1
0.72,Very Good,3,F,3,VS1,4,63.4,57.0,2938.0,5.68,5.7,3.61,region4
1.23,Ideal,1,F,3,VS1,4,61.3,57.0,9981.0,6.93,6.86,4.23,region2
1.21,Premium,2,J,7,VVS1,2,61.3,59.0,5304.0,6.81,6.86,4.19,region4
1.52,Fair,5,G,4,VS2,5,55.2,66.0,9561.0,7.72,7.67,4.26,region4
0.32,Ideal,1,G,4,IF,1,61.8,55.0,826.0,4.42,4.45,2.74,region4
1.54,Premium,2,H,5,IF,1,62.5,58.0,10976.0,7.33,7.38,4.6,region4
0.41,Ideal,1,F,3,VS2,5,62.7,56.0,996.0,4.78,4.72,2.98,region4
1.74,Premium,2,J,7,SI2,7,59.7,57.0,9124.0,7.88,7.8,4.68,region3
0.34,Premium,2,E,2,VS2,5,58.8,59.0,1099.0,4.59,4.56,2.69,region2
0.92,Fair,5,F,3,SI2,7,65.3,58.0,4267.0,6.08,6.04,3.96,region1
0.52,Ideal,1,F,3,SI2,7,62.1,55.0,1072.0,5.14,5.17,3.2,region4
0.98,Very Good,3,G,4,SI2,7,62.2,57.0,4769.0,6.33,6.37,3.95,region3
1.22,Ideal,1,I,6,SI1,6,60.2,57.0,6678.0,6.99,6.93,4.19,region2
2.0,Very Good,3,J,7,SI2,7,59.8,60.0,15330.0,8.09,8.13,4.85,region1
0.38,Ideal,1,E,2,VVS2,3,62.4,56.0,1426.0,4.69,4.63,2.91,region1
0.55,Premium,2,G,4,VS1,4,59.4,62.0,1882.0,5.36,5.32,3.17,region3
2.01,Premium,2,H,5,SI1,6,61.4,56.0,16466.0,8.19,8.13,5.01,region4
0.7,Premium,2,G,4,I1,8,61.6,56.0,1195.0,5.8,5.63,3.52,region3
2.01,Very Good,3,H,5,SI1,6,60.0,58.0,22224.0,8.16,8.25,4.92,region1
0.74,Very Good,3,H,5,SI2,7,62.1,58.0,2889.0,5.82,5.78,3.6,region1
0.79,Premium,2,E,2,VVS1,2,62.8,60.0,5837.0,5.89,5.8,3.67,region1
1.7,Ideal,1,I,6,SI2,7,60.7,59.0,9180.0,7.69,7.64,4.65,region3
2.11,Very Good,3,G,4,I1,8,63.2,57.0,9009.0,8.13,8.07,5.12,region2
1.72,Premium,2,G,4,VS2,5,61.1,58.0,18171.0,7.69,7.73,4.71,region2
0.4,Good,4,E,2,SI1,6,63.6,57.0,926.0,4.69,4.65,2.97,region3
0.42,Good,4,E,2,SI1,6,63.6,61.0,1087.0,4.73,4.7,3.0,region2
0.7,Fair,5,G,4,VS2,5,57.3,63.0,2614.0,5.78,5.84,3.33,region2
1.0,Very Good,3,F,3,SI2,7,61.7,58.0,3410.0,6.32,6.36,3.91,region4
1.25,Premium,2,J,7,SI2,7,62.3,59.0,5072.0,6.86,6.82,4.26,region2
0.41,Ideal,1,I,6,VS2,5,61.2,56.0,1109.0,4.77,4.81,2.93,region3
0.39,Ideal,1,F,3,VS2,5,59.2,58.0,1121.0,4.78,4.81,2.84,region1
1.51,Premium,2,H,5,SI1,6,62.0,58.0,8560.0,7.38,7.34,4.56,region4
1.02,Very Good,3,G,4,VVS2,3,61.3,59.0,9480.0,6.46,6.53,3.98,region1
2.0,Premium,2,H,5,SI2,7,59.7,61.0,13906.0,8.2,8.15,4.88,region4
0.41,Premium,2,D,1,SI2,7,62.4,60.0,785.0,4.71,4.77,2.96,region2
1.23,Good,4,H,5,SI1,6,63.9,56.0,5300.0,6.81,6.77,4.34,region4
0.7,Very Good,3,H,5,VS2,5,60.0,57.0,2685.0,5.74,5.8,3.46,region2
1.19,Premium,2,J,7,SI2,7,58.4,60.0,3778.0,6.98,6.92,4.06,region4
1.1,Ideal,1,E,2,SI2,7,59.4,54.0,4682.0,6.79,6.74,4.02,region2
0.72,Ideal,1,H,5,SI1,6,60.3,59.0,1977.0,5.77,5.83,3.5,region4
0.71,Ideal,1,I,6,VVS2,3,62.0,54.0,2745.0,5.72,5.76,3.56,region2
0.3,Ideal,1,H,5,VVS1,2,61.3,57.0,598.0,4.32,4.36,2.66,region4
0.77,Good,4,H,5,VVS2,3,64.3,57.9,3554.0,5.7,5.86,3.71,region1
0.38,Good,4,I,6,SI1,6,63.7,57.0,692.0,4.63,4.57,2.93,region3
0.7,Ideal,1,F,3,VVS2,3,62.0,55.0,3351.0,5.71,5.67,3.53,region3
1.0,Premium,2,H,5,VS1,4,61.5,57.0,6195.0,6.44,6.37,3.94,region2
1.52,Ideal,1,E,2,SI1,6,62.1,56.0,15272.0,7.35,7.38,4.57,region2
0.41,Ideal,1,D,1,SI1,6,61.7,54.0,712.0,4.78,4.79,2.95,region4
0.29,Ideal,1,E,2,VS2,5,60.1,56.0,805.0,4.3,4.34,2.6,region1
0.3,Premium,2,G,4,VVS1,2,62.1,56.0,1064.0,4.31,4.29,2.67,region3
